Abandoned Data Points Are As Follow: 
Solute	Cation	Anion	T	Gamma	DataFlag	
MeO	BMIM	PF6	313.15	2.06	2	
MeO	BMIM	PF6	313.15	1.93	2	
MeO	BMIM	PF6	333.15	2.03	3	
MeO	BMIM	PF6	315.90	2.16	2	
MeO	BMIM	PF6	325.30	1.95	5	
MeO	BMIM	PF6	334.80	1.81	3	
EtO	BMIM	PF6	313.15	2.94	10	
EtO	BMIM	PF6	313.15	2.87	10	
EtO	BMIM	PF6	333.15	2.84	11	
EtO	BMIM	PF6	315.90	3.02	10	
EtO	BMIM	PF6	325.30	2.69	13	
EtO	BMIM	PF6	334.80	2.47	11	
PrO	BMIM	PF6	313.15	4.14	22	
PrO	BMIM	PF6	313.15	4.35	22	
PrO	BMIM	PF6	333.15	3.77	23	
PrO	BMIM	PF6	315.90	4.01	22	
PrO	BMIM	PF6	325.30	3.46	25	
PrO	BMIM	PF6	334.80	3.18	23	
2PO	BMIM	PF6	313.15	3.64	27	
2PO	BMIM	PF6	313.15	3.57	27	
2PO	BMIM	PF6	333.15	3.43	28	
2PO	BMIM	PF6	315.90	3.65	27	
2PO	BMIM	PF6	325.30	3.16	30	
2PO	BMIM	PF6	334.80	2.85	28	
BuCO	BMIM	PF6	315.90	0.99	35	
BuCO	BMIM	PF6	325.30	0.99	36	
BuCO	BMIM	PF6	334.80	0.98	37	
iBO	BMIM	PF6	313.15	5.74	43	
iBO	BMIM	PF6	313.15	5.31	43	
iBO	BMIM	PF6	333.15	4.83	44	
iBO	BMIM	PF6	315.90	5.03	43	
iBO	BMIM	PF6	325.30	4.38	46	
iBO	BMIM	PF6	334.80	3.84	44	
BuO	BMIM	PF6	313.15	5.90	52	
BuO	BMIM	PF6	313.15	5.91	52	
BuO	BMIM	PF6	333.15	5.14	53	
BuO	BMIM	PF6	315.90	5.59	52	
BuO	BMIM	PF6	325.30	4.77	55	
BuO	BMIM	PF6	334.80	4.24	53	
2Buto	BMIM	PF6	315.90	4.29	57	
2Buto	BMIM	PF6	334.80	3.37	58	
C6ene	BMIM	PF6	313.15	6.00	67	
C6ene	BMIM	PF6	323.15	5.52	68	
C6ene	BMIM	PF6	313.15	19.02	67	
C6ene	BMIM	PF6	323.15	17.55	68	
Meben	BMIM	PF6	315.90	1.71	100	
Meben	BMIM	PF6	325.30	1.59	101	
Meben	BMIM	PF6	334.80	1.71	102	
Oxylene	BMIM	PF6	315.90	2.37	119	
Oxylene	BMIM	PF6	325.30	2.21	120	
Oxylene	BMIM	PF6	334.80	2.20	121	
Mxylene	BMIM	PF6	333.15	5.51	124	
Mxylene	BMIM	PF6	315.90	2.38	122	
Mxylene	BMIM	PF6	325.30	2.43	123	
Mxylene	BMIM	PF6	334.80	2.36	124	
Pxylene	BMIM	PF6	315.90	2.27	125	
Pxylene	BMIM	PF6	325.30	2.24	126	
Pxylene	BMIM	PF6	334.80	2.28	127	
