Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 18-May-2020

AARD=	0.5420

No	Cation	Anion	Solute	T	Vcal	Vexp	ARD	
1	PrMMIM	BF4	DCM	  303.15	0.2323	1.6680	0.8607
2	PrMMIM	BF4	DCM	  313.15	0.2551	1.7430	0.8537
3	PrMMIM	BF4	DCM	  323.15	0.2780	1.8400	0.8489
4	PrMMIM	BF4	DCM	  333.15	0.3010	1.9270	0.8438
5	PrMMIM	BF4	DCM	  343.15	0.3239	2.0100	0.8388
6	PrMMIM	BF4	DCM	  353.15	0.3466	2.0870	0.8339
7	PrMMIM	BF4	DCM	  363.15	0.3690	2.1740	0.8303
8	PrMIM	NTF2	DCM	  298.15	0.3745	0.7949	0.5289
9	PCNMIM	NTF2	DCM	  298.15	0.5281	0.9555	0.4473
10	PCNMIM	DCA	DCM	  312.75	0.5124	0.9400	0.4549
11	PCNMIM	DCA	DCM	  322.55	0.5514	1.0200	0.4594
12	PCNMIM	DCA	DCM	  332.55	0.5902	1.1100	0.4683
13	OMMMIM	NTF2	DCM	  353.15	0.3014	0.5800	0.4804
14	OMMMIM	NTF2	DCM	  343.15	0.2890	0.6400	0.5484
15	OMMMIM	NTF2	DCM	  333.15	0.2762	0.6800	0.5938
16	OMMMIM	NTF2	DCM	  323.15	0.2629	0.7500	0.6494
17	OMMMIM	NTF2	DCM	  313.15	0.2493	0.8200	0.6960
18	OMMMIM	BF4	DCM	  313.15	0.2493	1.0840	0.7701
19	OMMMIM	BF4	DCM	  323.15	0.2629	1.0920	0.7592
20	OMMMIM	BF4	DCM	  333.15	0.2762	1.0960	0.7480
21	OMMMIM	BF4	DCM	  343.15	0.2890	1.1020	0.7377
22	OMMMIM	BF4	DCM	  353.15	0.3014	1.1060	0.7275
23	OMIM	Cl	DCM	  313.15	0.1664	0.2200	0.2438
24	OMIM	NO3	DCM	  303.15	0.2374	0.3200	0.2580
25	OMIM	NO3	DCM	  313.15	0.2523	0.3300	0.2355
26	OMIM	NO3	DCM	  323.15	0.2668	0.3400	0.2154
27	OMIM	NO3	DCM	  333.15	0.2809	0.3600	0.2196
28	OMIM	NO3	DCM	  343.15	0.2947	0.3700	0.2035
29	OMIM	NO3	DCM	  353.15	0.3081	0.3800	0.1892
30	OMIM	NO3	DCM	  363.15	0.3211	0.3900	0.1767
31	OMIM	PF6	DCM	  343.15	0.3111	0.4700	0.3380
32	OMIM	PF6	DCM	  353.15	0.3167	0.4900	0.3536
33	OMIM	PF6	DCM	  363.15	0.3220	0.5200	0.3808
34	OMIM	PF6	DCM	  373.15	0.3270	0.5400	0.3945
35	OctIq	NTF2	DCM	  298.15	0.2779	0.4447	0.3750
36	N8111	NTF2	DCM	  322.85	0.3439	0.5100	0.3258
37	N8111	NTF2	DCM	  332.65	0.3590	0.5300	0.3226
38	N8111	NTF2	DCM	  343.15	0.3746	0.5400	0.3064
39	N6111	NTF2	DCM	  322.65	0.3638	0.6780	0.4635
40	N6111	NTF2	DCM	  343.85	0.4075	0.7280	0.4403
41	N6111	NTF2	DCM	  352.65	0.4247	0.7590	0.4404
42	N4441	NTF2	DCM	  322.85	0.2155	0.6600	0.6735
43	N4441	NTF2	DCM	  332.65	0.2284	0.6900	0.6689
44	N4441	NTF2	DCM	  343.15	0.2420	0.7000	0.6543
45	N10111	NTF2	DCM	  322.85	0.3112	0.5100	0.3898
46	N10111	NTF2	DCM	  332.65	0.3234	0.5500	0.4121
