Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 19-Jun-2020

AARD=	0.0104

No	Cation	Anion	Solute	T	Vcal	Vexp	ARD	
1	BMIM	BF4	DCM	  298.15	0.7291	0.2600	1.8044
2	BMIM	C8SO4	DCM	  333.15	0.0000	0.3000	0.0000
3	BMIM	C8SO4	DCM	  343.15	0.0000	0.3500	0.0000
4	OMIM	Cl	DCM	  313.15	0.0000	0.2200	0.0000
5	MOPyr	NTF2	DCM	  323.00	0.0000	0.2600	0.0000
6	MOPyr	NTF2	DCM	  333.00	0.0000	0.2700	0.0000
7	MDPyr	NTF2	DCM	  322.60	0.0000	0.2700	0.0000
8	MDPyr	NTF2	DCM	  343.10	0.0000	0.2800	0.0000
9	MDPyr	NTF2	DCM	  332.50	0.0000	0.3000	0.0000
10	MDPyr	NTF2	DCM	  342.80	0.0000	0.3000	0.0000
11	MHPyr	NTF2	DCM	  322.90	0.0000	0.3100	0.0000
12	OMIM	NO3	DCM	  303.15	0.0000	0.3200	0.0000
13	OMIM	NO3	DCM	  313.15	0.0000	0.3300	0.0000
14	D2MIM	NTF2	DCM	  323.10	0.0000	0.3300	0.0000
15	OMIM	NO3	DCM	  323.15	0.0000	0.3400	0.0000
16	C8POMMIM	DCA	DCM	  323.15	0.0000	0.3400	0.0000
17	D2MIM	NTF2	DCM	  333.15	0.0000	0.3410	0.0000
18	MHPyr	NTF2	DCM	  343.10	0.0000	0.3500	0.0000
19	D2MIM	NTF2	DCM	  343.15	0.0000	0.3510	0.0000
20	HMIM	Cl	DCM	  313.15	0.0000	0.3550	0.0000
21	BMIM	BETI	DCM	  322.55	0.0000	0.3560	0.0000
22	OMIM	NO3	DCM	  333.15	0.0000	0.3600	0.0000
23	HMIM	NTF2	DCM	  333.00	0.0000	0.3600	0.0000
24	OMIM	NO3	DCM	  343.15	0.0000	0.3700	0.0000
25	C8POMMIM	DCA	DCM	  333.15	0.0000	0.3700	0.0000
26	C8POMMIM	DCA	DCM	  343.15	0.0000	0.3700	0.0000
27	BenPOMMIM	NTF2	DCM	  343.15	0.0000	0.3700	0.0000
28	OMIM	NO3	DCM	  353.15	0.0000	0.3800	0.0000
29	HMIM	Cl	DCM	  323.15	0.0000	0.3830	0.0000
30	OMIM	NO3	DCM	  363.15	0.0000	0.3900	0.0000
31	HMIM	Cl	DCM	  333.15	0.0000	0.4150	0.0000
32	C8POMMIM	NTF2	DCM	  323.15	0.0000	0.4200	0.0000
33	C8POMMIM	NTF2	DCM	  333.15	0.0000	0.4300	0.0000
34	BMIM	BETI	DCM	  342.75	0.0000	0.4360	0.0000
35	C16MIM	BF4	DCM	  323.15	0.0000	0.4400	0.0000
36	BenPOMMIM	NTF2	DCM	  333.15	0.0000	0.4400	0.0000
37	HMIM	Cl	DCM	  343.15	0.0000	0.4440	0.0000
38	C16MIM	BF4	DCM	  333.15	0.0000	0.4600	0.0000
39	BMIM	NO3	DCM	  303.15	0.0000	0.4640	0.0000
40	OMIM	PF6	DCM	  343.15	0.0000	0.4700	0.0000
41	EMIM	MeSO3	DCM	  312.55	0.0000	0.4710	0.0000
42	HMIM	Cl	DCM	  353.15	0.0000	0.4760	0.0000
43	C16MIM	BF4	DCM	  343.15	0.0000	0.4800	0.0000
44	C8POMMIM	NTF2	DCM	  343.15	0.0000	0.4800	0.0000
45	OMIM	PF6	DCM	  353.15	0.0000	0.4900	0.0000
46	BMIM	NO3	DCM	  313.15	0.0000	0.4910	0.0000
47	HMIM	Cl	DCM	  363.15	0.0000	0.5100	0.0000
48	N8111	NTF2	DCM	  322.85	0.0000	0.5100	0.0000
