Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 18-May-2020

AARD=	0.4746

No	Cation	Anion	Solute	T	Vcal	Vexp	ARD	
1	BMIM	C8SO4	DCM	  323.15	0.2270	0.2600	0.1271
2	BMIM	C8SO4	DCM	  333.15	0.2448	0.3000	0.1840
3	BMIM	C8SO4	DCM	  343.15	0.2626	0.3500	0.2497
4	OMIM	Cl	DCM	  313.15	0.1664	0.2200	0.2438
5	MOPyr	NTF2	DCM	  323.00	0.2617	0.2600	0.0066
6	MOPyr	NTF2	DCM	  333.00	0.2758	0.2700	0.0216
7	MDPyr	NTF2	DCM	  322.60	0.2437	0.2700	0.0974
8	MDPyr	NTF2	DCM	  343.10	0.2674	0.2800	0.0449
9	MDPyr	NTF2	DCM	  332.50	0.2554	0.3000	0.1488
10	MDPyr	NTF2	DCM	  342.80	0.2671	0.3000	0.1097
11	MHPyr	NTF2	DCM	  322.90	0.2547	0.3100	0.1783
12	OMIM	NO3	DCM	  303.15	0.2374	0.3200	0.2580
13	OMIM	NO3	DCM	  313.15	0.2523	0.3300	0.2355
14	D2MIM	NTF2	DCM	  323.10	0.1798	0.3300	0.4553
15	OMIM	NO3	DCM	  323.15	0.2668	0.3400	0.2154
16	C8POMMIM	DCA	DCM	  323.15	0.2021	0.3400	0.4055
17	D2MIM	NTF2	DCM	  333.15	0.1874	0.3410	0.4504
18	MHPyr	NTF2	DCM	  343.10	0.2882	0.3500	0.1766
19	D2MIM	NTF2	DCM	  343.15	0.1947	0.3510	0.4452
20	HMIM	Cl	DCM	  313.15	0.1069	0.3550	0.6989
21	BMIM	BETI	DCM	  322.55	0.3611	0.3560	0.0144
22	OMIM	NO3	DCM	  333.15	0.2809	0.3600	0.2196
23	HMIM	NTF2	DCM	  333.00	0.4866	0.3600	0.3517
24	OMIM	NO3	DCM	  343.15	0.2947	0.3700	0.2035
25	C8POMMIM	DCA	DCM	  333.15	0.2117	0.3700	0.4279
26	C8POMMIM	DCA	DCM	  343.15	0.2209	0.3700	0.4030
27	BenPOMMIM	NTF2	DCM	  343.15	0.4661	0.3700	0.2597
28	OMIM	NO3	DCM	  353.15	0.3081	0.3800	0.1892
29	HMIM	Cl	DCM	  323.15	0.1195	0.3830	0.6880
30	OMIM	NO3	DCM	  363.15	0.3211	0.3900	0.1767
31	HMIM	Cl	DCM	  333.15	0.1326	0.4150	0.6805
32	C8POMMIM	NTF2	DCM	  323.15	0.2325	0.4200	0.4464
33	C8POMMIM	NTF2	DCM	  333.15	0.2431	0.4300	0.4345
34	BMIM	BETI	DCM	  342.75	0.3714	0.4360	0.1481
35	C16MIM	BF4	DCM	  323.15	0.2537	0.4400	0.4234
36	BenPOMMIM	NTF2	DCM	  333.15	0.4501	0.4400	0.0229
37	HMIM	Cl	DCM	  343.15	0.1461	0.4440	0.6710
38	C16MIM	BF4	DCM	  333.15	0.2614	0.4600	0.4317
39	BMIM	NO3	DCM	  303.15	0.2204	0.4640	0.5249
40	OMIM	PF6	DCM	  343.15	0.3111	0.4700	0.3380
41	EMIM	MeSO3	DCM	  312.55	0.0901	0.4710	0.8087
42	HMIM	Cl	DCM	  353.15	0.1599	0.4760	0.6640
43	C16MIM	BF4	DCM	  343.15	0.2688	0.4800	0.4401
44	C8POMMIM	NTF2	DCM	  343.15	0.2534	0.4800	0.4721
45	OMIM	PF6	DCM	  353.15	0.3167	0.4900	0.3536
46	BMIM	NO3	DCM	  313.15	0.2411	0.4910	0.5090
47	HMIM	Cl	DCM	  363.15	0.1741	0.5100	0.6586
48	N8111	NTF2	DCM	  322.85	0.3439	0.5100	0.3258
49	N10111	NTF2	DCM	  322.85	0.3112	0.5100	0.3898
50	OMIM	PF6	DCM	  363.15	0.3220	0.5200	0.3808
51	BenPOMMIM	NTF2	DCM	  323.15	0.4331	0.5200	0.1671
52	BMIM	NO3	DCM	  323.15	0.2619	0.5260	0.5022
53	N8111	NTF2	DCM	  332.65	0.3590	0.5300	0.3226
54	MBPyr	BCN4	DCM	  318.15	0.3040	0.5360	0.4329
55	BMIM	NTF2	DCM	  362.65	0.5584	0.5390	0.0360
56	OMIM	PF6	DCM	  373.15	0.3270	0.5400	0.3945
57	N8111	NTF2	DCM	  343.15	0.3746	0.5400	0.3064
58	EMIM	Tosylate	DCM	  323.15	0.2091	0.5400	0.6128
59	MBPyr	DCA	DCM	  318.15	0.1930	0.5410	0.6433
60	MBPyr	BCN4	DCM	  323.15	0.3113	0.5420	0.4256
61	N10111	NTF2	DCM	  332.65	0.3234	0.5500	0.4121
62	BMIM	NO3	DCM	  333.15	0.2827	0.5520	0.4879
63	MBPyr	DCA	DCM	  323.15	0.2011	0.5580	0.6397
64	N10111	NTF2	DCM	  343.15	0.3358	0.5600	0.4004
65	4DM1POMPy	NTF2	DCM	  323.15	0.2852	0.5700	0.4997
66	MBPyr	BCN4	DCM	  343.15	0.3392	0.5740	0.4091
67	BMIM	NO3	DCM	  343.15	0.3035	0.5790	0.4758
68	BenPOMMIM	DCA	DCM	  323.15	0.3649	0.5800	0.3709
69	OMMMIM	NTF2	DCM	  353.15	0.3014	0.5800	0.4804
70	MBPyr	BCN4	DCM	  353.15	0.3522	0.5900	0.4031
71	MBPyr	BCN4	DCM	  333.15	0.3256	0.5900	0.4482
72	MBPyr	DCA	DCM	  333.15	0.2173	0.5910	0.6323
73	BMIM	NO3	DCM	  353.15	0.3242	0.6020	0.4614
74	MPePyr	NTF2	DCM	  323.15	0.2558	0.6100	0.5806
75	4DM1POMPy	NTF2	DCM	  333.15	0.3025	0.6200	0.5121
76	BMIM	DCA	DCM	  343.15	0.4224	0.6230	0.3219
77	BenPOMMIM	DCA	DCM	  333.15	0.3792	0.6300	0.3981
78	4DM1POMPy	NTF2	DCM	  343.15	0.3194	0.6300	0.4930
79	EMIM	NO3	DCM	  318.15	0.1782	0.6320	0.7181
80	HMIM	TFA	DCM	  303.15	0.3598	0.6400	0.4378
81	BMIM	NO3	DCM	  363.15	0.3447	0.6400	0.4613
82	OMMMIM	NTF2	DCM	  343.15	0.2890	0.6400	0.5484
83	HMIM	TFA	DCM	  313.15	0.3781	0.6500	0.4183
84	MPePyr	NTF2	DCM	  333.15	0.2742	0.6500	0.5781
85	MBPyr	NTF2	DCM	  343.15	0.2883	0.6500	0.5564
86	EMIM	NO3	DCM	  323.15	0.1889	0.6510	0.7099
87	MBPyr	DCA	DCM	  353.15	0.2497	0.6550	0.6188
88	EMIM	BCN4	DCM	  318.15	0.5830	0.6560	0.1112
89	HMIM	FAP	DCM	  312.80	0.4257	0.6600	0.3551
90	MPrPyr	NTF2	DCM	  323.15	0.2306	0.6600	0.6505
91	MBPyr	NTF2	DCM	  323.15	0.2475	0.6600	0.6251
92	N4441	NTF2	DCM	  322.85	0.2155	0.6600	0.6735
93	EMIM	BCN4	DCM	  323.15	0.5926	0.6650	0.1089
94	HMIM	TFA	DCM	  323.15	0.3958	0.6700	0.4093
95	EMIM	DCA	DCM	  322.65	0.3951	0.6700	0.4103
96	N6111	NTF2	DCM	  322.65	0.3638	0.6780	0.4635
97	HMIM	TFA	DCM	  333.15	0.4127	0.6800	0.3931
98	BenPOMMIM	DCA	DCM	  343.15	0.3928	0.6800	0.4224
99	OMMMIM	NTF2	DCM	  333.15	0.2762	0.6800	0.5938
100	EMIM	BCN4	DCM	  333.15	0.6105	0.6820	0.1048
101	BMIM	BF4	DCM	  303.35	0.4067	0.6900	0.4106
102	MPOMIM	DCA	DCM	  323.15	0.3638	0.6900	0.4727
103	EMIM	NTF2	DCM	  313.15	0.4325	0.6900	0.3733
104	N4441	NTF2	DCM	  332.65	0.2284	0.6900	0.6689
105	EMIM	NO3	DCM	  333.15	0.2109	0.6910	0.6948
106	EMIM	BCN4	DCM	  343.15	0.6271	0.6980	0.1016
107	HMIM	FAP	DCM	  332.85	0.4261	0.6990	0.3903
108	HMIM	TFA	DCM	  343.15	0.4289	0.7000	0.3873
109	C6MMIM	BF4	DCM	  313.15	0.2689	0.7000	0.6159
110	C6MMIM	NTF2	DCM	  353.15	0.3327	0.7000	0.5247
111	MBPyr	NTF2	DCM	  333.15	0.2679	0.7000	0.6173
112	N4441	NTF2	DCM	  343.15	0.2420	0.7000	0.6543
113	HMIM	FAP	DCM	  354.65	0.4266	0.7070	0.3966
114	MPOMIM	NTF2	DCM	  323.15	0.4440	0.7100	0.3747
115	C6MMIM	NTF2	DCM	  343.15	0.3174	0.7100	0.5529
116	EMIM	BCN4	DCM	  353.15	0.6422	0.7140	0.1005
117	HMIM	TFA	DCM	  353.15	0.4443	0.7200	0.3829
118	BMIM	BF4	DCM	  312.55	0.4322	0.7200	0.3997
119	MPrPyr	NTF2	DCM	  333.15	0.2537	0.7200	0.6477
120	C6MMIM	NTF2	DCM	  333.15	0.3017	0.7200	0.5810
121	MeOEMIM	NTF2	DCM	  332.65	0.5171	0.7200	0.2819
122	N6111	NTF2	DCM	  343.85	0.4075	0.7280	0.4403
123	EMIM	NO3	DCM	  343.15	0.2338	0.7290	0.6793
124	HMIM	TFA	DCM	  363.15	0.4591	0.7300	0.3711
125	EMIM	DCA	DCM	  332.85	0.4251	0.7300	0.4176
126	C6MMIM	NTF2	DCM	  323.15	0.2855	0.7300	0.6089
127	MBPyr	NTF2	DCM	  343.15	0.2883	0.7300	0.6051
128	C6MMIM	BF4	DCM	  323.15	0.2855	0.7400	0.6142
129	MPOMIM	DCA	DCM	  333.15	0.3832	0.7400	0.4822
130	C6MMIM	NTF2	DCM	  313.15	0.2689	0.7400	0.6366
131	MBPyr	BF4	DCM	  313.68	0.2282	0.7480	0.6950
132	MPOMIM	NTF2	DCM	  343.15	0.4926	0.7500	0.3432
133	OMMMIM	NTF2	DCM	  323.15	0.2629	0.7500	0.6494
134	MeOEMIM	NTF2	DCM	  342.75	0.5538	0.7500	0.2616
135	MBPyr	BF4	DCM	  323.02	0.2472	0.7570	0.6734
136	N6111	NTF2	DCM	  352.65	0.4247	0.7590	0.4404
137	MeOEMIM	NTF2	DCM	  353.15	0.5907	0.7600	0.2227
138	MBPyr	BF4	DCM	  333.38	0.2684	0.7660	0.6496
139	EMIM	NO3	DCM	  353.15	0.2573	0.7690	0.6654
140	BMIM	NTF2	DCM	  323.15	0.4609	0.7700	0.4015
141	MBPyr	BF4	DCM	  343.78	0.2896	0.7720	0.6249
142	BenPOMMIM	BF4	DCM	  323.15	0.4331	0.7800	0.4447
143	BenPOMMIM	BF4	DCM	  333.15	0.4501	0.7800	0.4230
144	MPOMIM	DCA	DCM	  343.15	0.4020	0.7800	0.4847
145	EMIM	DCA	DCM	  343.15	0.4550	0.7800	0.4167
146	MPrPyr	NTF2	DCM	  343.15	0.2771	0.7800	0.6448
147	BMIM	NTF2	DCM	  363.15	0.5596	0.7800	0.2826
148	BMIM	BF4	DCM	  332.55	0.4854	0.7900	0.3855
149	BMIM	BF4	DCM	  322.55	0.4593	0.7900	0.4187
150	BenPOMMIM	BF4	DCM	  343.15	0.4661	0.7900	0.4100
151	BMIM	PF6	DCM	  313.15	0.3564	0.7900	0.5489
152	MPOMIM	NTF2	DCM	  333.15	0.4687	0.7900	0.4067
153	BMIM	NTF2	DCM	  353.15	0.5364	0.7900	0.3210
154	BMIM	NTF2	DCM	  343.15	0.5122	0.7900	0.3517
155	BMIM	NTF2	DCM	  333.15	0.4870	0.7900	0.3836
156	C6MMIM	BF4	DCM	  333.15	0.3017	0.8000	0.6229
157	OMMMIM	NTF2	DCM	  313.15	0.2493	0.8200	0.6960
158	BMIM	ClO4	DCM	  303.15	0.4161	0.8400	0.5047
159	EMMIM	NTF2	DCM	  343.00	0.3083	0.8580	0.6407
160	EMIM	NTF2	DCM	  343.00	0.5531	0.8620	0.3583
161	EMIM	NTF2	DCM	  333.00	0.5128	0.8690	0.4098
162	C6MMIM	BF4	DCM	  343.15	0.3174	0.8700	0.6351
163	EMMIM	NTF2	DCM	  333.00	0.2820	0.8790	0.6791
164	EMIM	NTF2	DCM	  323.00	0.4723	0.8820	0.4645
165	EMIM	NTF2	DCM	  313.00	0.4318	0.8910	0.5153
166	EMMIM	NTF2	DCM	  323.00	0.2562	0.8920	0.7128
167	BMIM	PF6	DCM	  323.15	0.3651	0.9000	0.5944
168	EMIM	NTF2	DCM	  313.00	0.4318	0.9090	0.5249
169	EMMIM	ClO4	DCM	  313.15	0.2485	0.9100	0.7269
170	C6MMIM	BF4	DCM	  353.15	0.3327	0.9300	0.6423
171	BMIM	TFO	DCM	  303.15	0.4104	0.9320	0.5596
172	PCNMIM	DCA	DCM	  312.75	0.5124	0.9400	0.4549
173	MeOMPyr	FAP	DCM	  353.15	0.4228	0.9420	0.5512
174	MeOMPyr	FAP	DCM	  343.15	0.4220	0.9540	0.5577
175	BMIM	ClO4	DCM	  323.15	0.4679	0.9600	0.5127
176	MeOMPyr	FAP	DCM	  333.15	0.4211	0.9650	0.5637
177	MeOMPyr	FAP	DCM	  323.15	0.4201	0.9760	0.5696
178	Epy	NTF2	DCM	  333.15	0.5928	0.9800	0.3951
179	MeOMPyr	FAP	DCM	  318.15	0.4196	0.9850	0.5741
180	BMIM	ClO4	DCM	  333.15	0.4924	1.0100	0.5125
181	Epy	NTF2	DCM	  323.15	0.5493	1.0100	0.4561
182	MMIM	NTF2	DCM	  312.45	0.3861	1.0100	0.6177
183	PCNMIM	DCA	DCM	  322.55	0.5514	1.0200	0.4594
184	BMIM	TFO	DCM	  313.15	0.4270	1.0230	0.5826
185	Epy	NTF2	DCM	  313.15	0.5056	1.0300	0.5091
186	BMIM	PF6	DCM	  333.15	0.3732	1.0400	0.6411
187	MMIM	NTF2	DCM	  323.15	0.4397	1.0400	0.5772
