Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-Jun-2020

No	Cation	Anion	Solute	T	Vexp	
Vcal	1	BMIM	PF6	MeO	  293.15	2.5900	
4.446371e-01	2	BMIM	PF6	MeO	  313.15	2.0600	
4.388172e-01	3	BMIM	PF6	MeO	  333.15	1.6700	
4.342453e-01	4	BMIM	PF6	MeO	  353.15	1.3600	
4.306590e-01	5	BMIM	PF6	MeO	  313.15	1.9300	
4.388172e-01	6	BMIM	PF6	MeO	  323.15	1.9800	
4.363931e-01	7	BMIM	PF6	MeO	  333.15	2.0300	
4.342453e-01	8	BMIM	PF6	MeO	  315.90	2.1600	
4.381211e-01	9	BMIM	PF6	MeO	  325.30	1.9500	
4.359091e-01	10	BMIM	PF6	MeO	  334.80	1.8100	
4.339153e-01	11	BMIM	PF6	CCN	  313.15	0.5100	
4.578954e-01	12	BMIM	PF6	CCN	  323.15	0.5500	
4.605286e-01	13	BMIM	PF6	CCN	  333.15	0.6000	
4.629645e-01	14	BMIM	PF6	EtO	  293.15	3.8100	
6.452923e-01	15	BMIM	PF6	EtO	  313.15	2.9400	
6.261833e-01	16	BMIM	PF6	EtO	  333.15	2.3200	
6.107254e-01	17	BMIM	PF6	EtO	  353.15	1.8500	
5.981571e-01	18	BMIM	PF6	EtO	  313.15	2.8700	
6.261833e-01	19	BMIM	PF6	EtO	  323.15	2.8200	
6.180501e-01	20	BMIM	PF6	EtO	  333.15	2.8400	
6.107254e-01	21	BMIM	PF6	EtO	  315.90	3.0200	
6.238606e-01	22	BMIM	PF6	EtO	  325.30	2.6900	
6.164103e-01	23	BMIM	PF6	EtO	  334.80	2.4700	
6.095882e-01	24	BMIM	PF6	Acet	  315.90	0.7070	
6.385086e-01	25	BMIM	PF6	Acet	  325.30	0.7090	
6.381115e-01	26	BMIM	PF6	Acet	  334.80	0.6990	
6.376579e-01	27	BMIM	PF6	MeEO	  334.80	0.8380	
7.435332e-01	28	BMIM	PF6	MeEO	  344.30	0.8280	
7.379609e-01	29	BMIM	PF6	MeEO	  353.90	0.8930	
7.325912e-01	30	BMIM	PF6	MeEO	  363.40	0.8720	
7.275267e-01	31	BMIM	PF6	PrO	  293.15	5.5300	
9.911216e-01	32	BMIM	PF6	PrO	  313.15	4.1400	
9.381239e-01	33	BMIM	PF6	PrO	  333.15	3.1800	
8.951179e-01	34	BMIM	PF6	PrO	  353.15	2.4500	
8.598855e-01	35	BMIM	PF6	PrO	  313.15	4.3500	
9.381239e-01	36	BMIM	PF6	PrO	  323.15	4.0700	
9.155257e-01	37	BMIM	PF6	PrO	  333.15	3.7700	
8.951179e-01	38	BMIM	PF6	PrO	  315.90	4.0100	
9.316749e-01	39	BMIM	PF6	PrO	  325.30	3.4600	
9.109625e-01	40	BMIM	PF6	PrO	  334.80	3.1800	
8.919429e-01	41	BMIM	PF6	2PO	  293.15	4.8000	
9.408956e-01	42	BMIM	PF6	2PO	  313.15	3.6400	
8.962998e-01	43	BMIM	PF6	2PO	  333.15	2.8300	
8.598492e-01	44	BMIM	PF6	2PO	  353.15	2.2500	
8.298097e-01	45	BMIM	PF6	2PO	  313.15	3.5700	
8.962998e-01	46	BMIM	PF6	2PO	  323.15	3.5400	
8.771759e-01	47	BMIM	PF6	2PO	  333.15	3.4300	
8.598492e-01	48	BMIM	PF6	2PO	  315.90	3.6500	
8.908490e-01	49	BMIM	PF6	2PO	  325.30	3.1600	
8.733062e-01	50	BMIM	PF6	2PO	  334.80	2.8500	
8.571487e-01	51	BMIM	PF6	DMEO	  334.80	1.0900	
1.099711e+00	52	BMIM	PF6	DMEO	  344.30	1.1200	
1.080679e+00	53	BMIM	PF6	DMEO	  353.90	1.2100	
1.062642e+00	54	BMIM	PF6	DMEO	  363.40	1.1900	
1.045894e+00	55	BMIM	PF6	BuCO	  313.15	1.0200	
9.469841e-01	56	BMIM	PF6	BuCO	  323.15	1.1200	
9.360488e-01	57	BMIM	PF6	BuCO	  333.15	1.2300	
9.256785e-01	58	BMIM	PF6	BuCO	  315.90	0.9900	
9.439196e-01	59	BMIM	PF6	BuCO	  325.30	0.9900	
9.337722e-01	60	BMIM	PF6	BuCO	  334.80	0.9800	
9.240204e-01	61	BMIM	PF6	EtEO	  334.80	1.1300	
1.183010e+00	62	BMIM	PF6	EtEO	  344.30	1.1300	
1.159336e+00	63	BMIM	PF6	EtEO	  353.90	1.1900	
1.136987e+00	64	BMIM	PF6	EtEO	  363.40	1.1600	
1.116307e+00	65	BMIM	PF6	iBO	  293.15	8.3900	
1.368400e+00	66	BMIM	PF6	iBO	  313.15	5.7400	
1.274793e+00	67	BMIM	PF6	iBO	  333.15	4.2300	
1.198969e+00	68	BMIM	PF6	iBO	  353.15	3.2300	
1.136873e+00	69	BMIM	PF6	iBO	  313.15	5.3100	
1.274793e+00	70	BMIM	PF6	iBO	  323.15	5.0500	
1.234940e+00	71	BMIM	PF6	iBO	  333.15	4.8300	
1.198969e+00	72	BMIM	PF6	iBO	  315.90	5.0300	
1.263417e+00	73	BMIM	PF6	iBO	  325.30	4.3800	
1.226896e+00	74	BMIM	PF6	iBO	  334.80	3.8400	
1.193374e+00	75	BMIM	PF6	tertBO	  293.15	4.8300	
1.387251e+00	76	BMIM	PF6	tertBO	  313.15	3.6800	
1.292167e+00	77	BMIM	PF6	tertBO	  333.15	2.9700	
1.214953e+00	78	BMIM	PF6	tertBO	  353.15	2.4500	
1.151574e+00	79	BMIM	PF6	BuO	  293.15	8.1700	
1.358524e+00	80	BMIM	PF6	BuO	  313.15	5.9000	
1.266419e+00	81	BMIM	PF6	BuO	  333.15	4.4900	
1.191870e+00	82	BMIM	PF6	BuO	  353.15	3.4300	
1.130854e+00	83	BMIM	PF6	BuO	  313.15	5.9100	
1.266419e+00	84	BMIM	PF6	BuO	  323.15	5.4800	
1.227230e+00	85	BMIM	PF6	BuO	  333.15	5.1400	
1.191870e+00	86	BMIM	PF6	BuO	  315.90	5.5900	
1.255231e+00	87	BMIM	PF6	BuO	  325.30	4.7700	
1.219322e+00	88	BMIM	PF6	BuO	  334.80	4.2400	
1.186371e+00	89	BMIM	PF6	2Buto	  293.15	6.4700	
1.486769e+00	90	BMIM	PF6	2Buto	  313.15	4.8000	
1.374788e+00	91	BMIM	PF6	2Buto	  333.15	3.6900	
1.284579e+00	92	BMIM	PF6	2Buto	  353.15	2.8700	
1.211027e+00	93	BMIM	PF6	2Buto	  315.90	4.2900	
1.361225e+00	94	BMIM	PF6	2Buto	  325.30	3.7800	
1.317753e+00	95	BMIM	PF6	2Buto	  334.80	3.3700	
1.277939e+00	96	BMIM	PF6	Ben	  313.15	1.8200	
1.538830e+00	97	BMIM	PF6	Ben	  323.15	1.9600	
1.497254e+00	98	BMIM	PF6	Ben	  333.15	2.1300	
1.458422e+00	99	BMIM	PF6	Pyr	  313.15	0.7600	
9.452180e-01	100	BMIM	PF6	Pyr	  323.15	0.8100	
9.345021e-01	101	BMIM	PF6	Pyr	  333.15	0.7400	
9.242279e-01	102	BMIM	PF6	C6ene	  313.15	6.0000	
2.681353e+00	103	BMIM	PF6	C6ene	  323.15	5.5200	
2.556346e+00	104	BMIM	PF6	C6ene	  333.15	6.1100	
2.442845e+00	105	BMIM	PF6	Thiofen	  313.15	1.3700	
1.276790e+00	106	BMIM	PF6	Thiofen	  323.15	1.4700	
1.251032e+00	107	BMIM	PF6	Thiofen	  333.15	1.6000	
1.226525e+00	108	BMIM	PF6	CyC6	  313.15	23.3000	
9.316614e+00	109	BMIM	PF6	CyC6	  323.15	21.6000	
8.391434e+00	110	BMIM	PF6	CyC6	  333.15	19.9800	
7.601424e+00	111	BMIM	PF6	C6ene	  313.15	19.0200	
2.681353e+00	112	BMIM	PF6	C6ene	  323.15	17.5500	
2.556346e+00	113	BMIM	PF6	DCM	  313.15	0.7900	
7.706886e-01	114	BMIM	PF6	DCM	  323.15	0.9000	
7.686434e-01	115	BMIM	PF6	DCM	  333.15	1.0400	
7.660685e-01	116	BMIM	PF6	PeCO	  313.15	1.3900	
1.565721e+00	117	BMIM	PF6	PeCO	  323.15	1.7100	
1.521399e+00	118	BMIM	PF6	PeCO	  333.15	1.8700	
1.480440e+00	119	BMIM	PF6	Dioxan	  313.15	0.9700	
7.509372e-01	120	BMIM	PF6	Dioxan	  323.15	1.0100	
7.509315e-01	121	BMIM	PF6	Dioxan	  333.15	1.1400	
7.507127e-01	122	BMIM	PF6	iC5O	  315.90	7.7100	
1.801086e+00	123	BMIM	PF6	iC5O	  325.30	6.3400	
1.728533e+00	124	BMIM	PF6	iC5O	  334.80	5.2000	
