Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2020

No	Cation	Anion	Solute	T	Vexp	iVcal	
1	BMIM	PF6	MeO	  293.15	2.5900	0.4493	
2	BMIM	PF6	MeO	  313.15	2.0600	0.4429	
3	BMIM	PF6	MeO	  333.15	1.6700	0.4378	
4	BMIM	PF6	MeO	  353.15	1.3600	0.4338	
5	BMIM	PF6	MeO	  313.15	1.9300	0.4429	
6	BMIM	PF6	MeO	  323.15	1.9800	0.4402	
7	BMIM	PF6	MeO	  333.15	2.0300	0.4378	
8	BMIM	PF6	MeO	  315.90	2.1600	0.4421	
9	BMIM	PF6	MeO	  325.30	1.9500	0.4397	
10	BMIM	PF6	MeO	  334.80	1.8100	0.4375	
11	BMIM	PF6	CCN	  313.15	0.5100	0.4597	
12	BMIM	PF6	CCN	  323.15	0.5500	0.4623	
13	BMIM	PF6	CCN	  333.15	0.6000	0.4646	
14	BMIM	PF6	EtO	  293.15	3.8100	0.6512	
15	BMIM	PF6	EtO	  313.15	2.9400	0.6312	
16	BMIM	PF6	EtO	  333.15	2.3200	0.6150	
17	BMIM	PF6	EtO	  353.15	1.8500	0.6019	
18	BMIM	PF6	EtO	  313.15	2.8700	0.6312	
19	BMIM	PF6	EtO	  323.15	2.8200	0.6227	
20	BMIM	PF6	EtO	  333.15	2.8400	0.6150	
21	BMIM	PF6	EtO	  315.90	3.0200	0.6288	
22	BMIM	PF6	EtO	  325.30	2.6900	0.6210	
23	BMIM	PF6	EtO	  334.80	2.4700	0.6138	
24	BMIM	PF6	Acet	  315.90	0.7070	0.6420	
25	BMIM	PF6	Acet	  325.30	0.7090	0.6414	
26	BMIM	PF6	Acet	  334.80	0.6990	0.6407	
27	BMIM	PF6	MeEO	  334.80	0.8380	0.7456	
28	BMIM	PF6	MeEO	  344.30	0.8280	0.7399	
29	BMIM	PF6	MeEO	  353.90	0.8930	0.7344	
30	BMIM	PF6	MeEO	  363.40	0.8720	0.7292	
31	BMIM	PF6	PrO	  293.15	5.5300	0.9981	
32	BMIM	PF6	PrO	  313.15	4.1400	0.9437	
33	BMIM	PF6	PrO	  333.15	3.1800	0.8997	
34	BMIM	PF6	PrO	  353.15	2.4500	0.8636	
35	BMIM	PF6	PrO	  313.15	4.3500	0.9437	
36	BMIM	PF6	PrO	  323.15	4.0700	0.9205	
37	BMIM	PF6	PrO	  333.15	3.7700	0.8997	
38	BMIM	PF6	PrO	  315.90	4.0100	0.9371	
39	BMIM	PF6	PrO	  325.30	3.4600	0.9159	
40	BMIM	PF6	PrO	  334.80	3.1800	0.8964	
41	BMIM	PF6	2PO	  293.15	4.8000	0.9484	
42	BMIM	PF6	2PO	  313.15	3.6400	0.9024	
43	BMIM	PF6	2PO	  333.15	2.8300	0.8649	
44	BMIM	PF6	2PO	  353.15	2.2500	0.8340	
45	BMIM	PF6	2PO	  313.15	3.5700	0.9024	
46	BMIM	PF6	2PO	  323.15	3.5400	0.8827	
47	BMIM	PF6	2PO	  333.15	3.4300	0.8649	
48	BMIM	PF6	2PO	  315.90	3.6500	0.8968	
49	BMIM	PF6	2PO	  325.30	3.1600	0.8787	
50	BMIM	PF6	2PO	  334.80	2.8500	0.8621	
51	BMIM	PF6	DMEO	  334.80	1.0900	1.1023	
52	BMIM	PF6	DMEO	  344.30	1.1200	1.0829	
53	BMIM	PF6	DMEO	  353.90	1.2100	1.0647	
54	BMIM	PF6	DMEO	  363.40	1.1900	1.0477	
55	BMIM	PF6	BuCO	  313.15	1.0200	0.9517	
56	BMIM	PF6	BuCO	  323.15	1.1200	0.9404	
57	BMIM	PF6	BuCO	  333.15	1.2300	0.9296	
58	BMIM	PF6	BuCO	  315.90	0.9900	0.9485	
59	BMIM	PF6	BuCO	  325.30	0.9900	0.9380	
60	BMIM	PF6	BuCO	  334.80	0.9800	0.9279	
61	BMIM	PF6	EtEO	  334.80	1.1300	1.1849	
62	BMIM	PF6	EtEO	  344.30	1.1300	1.1610	
63	BMIM	PF6	EtEO	  353.90	1.1900	1.1384	
64	BMIM	PF6	EtEO	  363.40	1.1600	1.1175	
65	BMIM	PF6	iBO	  293.15	8.3900	1.3779	
66	BMIM	PF6	iBO	  313.15	5.7400	1.2822	
67	BMIM	PF6	iBO	  333.15	4.2300	1.2048	
68	BMIM	PF6	iBO	  353.15	3.2300	1.1415	
69	BMIM	PF6	iBO	  313.15	5.3100	1.2822	
70	BMIM	PF6	iBO	  323.15	5.0500	1.2415	
71	BMIM	PF6	iBO	  333.15	4.8300	1.2048	
72	BMIM	PF6	iBO	  315.90	5.0300	1.2706	
73	BMIM	PF6	iBO	  325.30	4.3800	1.2333	
74	BMIM	PF6	iBO	  334.80	3.8400	1.1991	
75	BMIM	PF6	tertBO	  293.15	4.8300	1.3955	
76	BMIM	PF6	tertBO	  313.15	3.6800	1.2985	
77	BMIM	PF6	tertBO	  333.15	2.9700	1.2199	
78	BMIM	PF6	tertBO	  353.15	2.4500	1.1554	
79	BMIM	PF6	BuO	  293.15	8.1700	1.3685	
80	BMIM	PF6	BuO	  313.15	5.9000	1.2742	
81	BMIM	PF6	BuO	  333.15	4.4900	1.1980	
82	BMIM	PF6	BuO	  353.15	3.4300	1.1358	
83	BMIM	PF6	BuO	  313.15	5.9100	1.2742	
84	BMIM	PF6	BuO	  323.15	5.4800	1.2341	
85	BMIM	PF6	BuO	  333.15	5.1400	1.1980	
86	BMIM	PF6	BuO	  315.90	5.5900	1.2627	
87	BMIM	PF6	BuO	  325.30	4.7700	1.2260	
88	BMIM	PF6	BuO	  334.80	4.2400	1.1924	
89	BMIM	PF6	2Buto	  293.15	6.4700	1.4944	
90	BMIM	PF6	2Buto	  313.15	4.8000	1.3805	
91	BMIM	PF6	2Buto	  333.15	3.6900	1.2889	
92	BMIM	PF6	2Buto	  353.15	2.8700	1.2144	
93	BMIM	PF6	2Buto	  315.90	4.2900	1.3667	
94	BMIM	PF6	2Buto	  325.30	3.7800	1.3226	
95	BMIM	PF6	2Buto	  334.80	3.3700	1.2822	
96	BMIM	PF6	Ben	  313.15	1.8200	1.5268	
97	BMIM	PF6	Ben	  323.15	1.9600	1.4858	
98	BMIM	PF6	Ben	  333.15	2.1300	1.4475	
99	BMIM	PF6	Pyr	  313.15	0.7600	0.9475	
100	BMIM	PF6	Pyr	  323.15	0.8100	0.9365	
101	BMIM	PF6	Pyr	  333.15	0.7400	0.9259	
102	BMIM	PF6	C6ene	  313.15	6.0000	2.6566	
103	BMIM	PF6	C6ene	  323.15	5.5200	2.5332	
104	BMIM	PF6	C6ene	  333.15	6.1100	2.4212	
105	BMIM	PF6	Thiofen	  313.15	1.3700	1.2673	
106	BMIM	PF6	Thiofen	  323.15	1.4700	1.2419	
107	BMIM	PF6	Thiofen	  333.15	1.6000	1.2178	
108	BMIM	PF6	CyC6	  313.15	23.3000	9.2617	
109	BMIM	PF6	CyC6	  323.15	21.6000	8.3420	
110	BMIM	PF6	CyC6	  333.15	19.9800	7.5568	
111	BMIM	PF6	C6ene	  313.15	19.0200	2.6566	
112	BMIM	PF6	C6ene	  323.15	17.5500	2.5332	
113	BMIM	PF6	DCM	  313.15	0.7900	0.7655	
114	BMIM	PF6	DCM	  323.15	0.9000	0.7636	
115	BMIM	PF6	DCM	  333.15	1.0400	0.7612	
116	BMIM	PF6	PeCO	  313.15	1.3900	1.5694	
117	BMIM	PF6	PeCO	  323.15	1.7100	1.5246	
118	BMIM	PF6	PeCO	  333.15	1.8700	1.4831	
119	BMIM	PF6	Dioxan	  313.15	0.9700	0.7553	
120	BMIM	PF6	Dioxan	  323.15	1.0100	0.7550	
121	BMIM	PF6	Dioxan	  333.15	1.1400	0.7545	
122	BMIM	PF6	iC5O	  315.90	7.7100	1.8103	
123	BMIM	PF6	iC5O	  325.30	6.3400	1.7365	
124	BMIM	PF6	iC5O	  334.80	5.2000	1.6696	
125	BMIM	PF6	C53O	  315.90	4.7000	2.0547	
126	BMIM	PF6	C53O	  325.30	4.1400	1.9663	
127	BMIM	PF6	C53O	  334.80	3.7800	1.8859	
128	BMIM	PF6	C5O	  315.90	9.7000	1.9457	
129	BMIM	PF6	C5O	  325.30	8.0100	1.8606	
130	BMIM	PF6	C5O	  334.80	6.4700	1.7836	
131	BMIM	PF6	C52O	  315.90	5.6600	2.0567	
132	BMIM	PF6	C52O	  325.30	4.9900	1.9674	
133	BMIM	PF6	C52O	  334.80	4.3800	1.8862	
134	BMIM	PF6	NO2Pr	  313.15	1.0500	0.9582	
135	BMIM	PF6	NO2Pr	  323.15	1.1300	0.9482	
136	BMIM	PF6	NO2Pr	  333.15	1.2300	0.9387	
137	BMIM	PF6	Meben	  313.15	2.9700	2.4715	
138	BMIM	PF6	Meben	  323.15	3.0900	2.3677	
139	BMIM	PF6	Meben	  333.15	3.3700	2.2727	
140	BMIM	PF6	Meben	  315.90	1.7100	2.4421	
