Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-Jun-2020

No	Cation	Anion	Solute	T	Vexp	iVcal	
1	BMIM	PF6	MeO	  293.15	2.5900	0.4359	
2	BMIM	PF6	MeO	  313.15	2.0600	0.4306	
3	BMIM	PF6	MeO	  333.15	1.6700	0.4265	
4	BMIM	PF6	MeO	  353.15	1.3600	0.4234	
5	BMIM	PF6	MeO	  313.15	1.9300	0.4306	
6	BMIM	PF6	MeO	  323.15	1.9800	0.4284	
7	BMIM	PF6	MeO	  333.15	2.0300	0.4265	
8	BMIM	PF6	MeO	  315.90	2.1600	0.4300	
9	BMIM	PF6	MeO	  325.30	1.9500	0.4280	
10	BMIM	PF6	MeO	  334.80	1.8100	0.4262	
11	BMIM	PF6	CCN	  313.15	0.5100	0.4636	
12	BMIM	PF6	CCN	  323.15	0.5500	0.4661	
13	BMIM	PF6	CCN	  333.15	0.6000	0.4683	
14	BMIM	PF6	EtO	  293.15	3.8100	0.6349	
15	BMIM	PF6	EtO	  313.15	2.9400	0.6166	
16	BMIM	PF6	EtO	  333.15	2.3200	0.6018	
17	BMIM	PF6	EtO	  353.15	1.8500	0.5898	
18	BMIM	PF6	EtO	  313.15	2.8700	0.6166	
19	BMIM	PF6	EtO	  323.15	2.8200	0.6088	
20	BMIM	PF6	EtO	  333.15	2.8400	0.6018	
21	BMIM	PF6	EtO	  315.90	3.0200	0.6144	
22	BMIM	PF6	EtO	  325.30	2.6900	0.6072	
23	BMIM	PF6	EtO	  334.80	2.4700	0.6007	
24	BMIM	PF6	Acet	  315.90	0.7070	0.6476	
25	BMIM	PF6	Acet	  325.30	0.7090	0.6468	
26	BMIM	PF6	Acet	  334.80	0.6990	0.6460	
27	BMIM	PF6	MeEO	  334.80	0.8380	0.7512	
28	BMIM	PF6	MeEO	  344.30	0.8280	0.7452	
29	BMIM	PF6	MeEO	  353.90	0.8930	0.7395	
30	BMIM	PF6	MeEO	  363.40	0.8720	0.7341	
31	BMIM	PF6	PrO	  293.15	5.5300	0.9737	
32	BMIM	PF6	PrO	  313.15	4.1400	0.9225	
33	BMIM	PF6	PrO	  333.15	3.1800	0.8810	
34	BMIM	PF6	PrO	  353.15	2.4500	0.8470	
35	BMIM	PF6	PrO	  313.15	4.3500	0.9225	
36	BMIM	PF6	PrO	  323.15	4.0700	0.9007	
37	BMIM	PF6	PrO	  333.15	3.7700	0.8810	
38	BMIM	PF6	PrO	  315.90	4.0100	0.9163	
