Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2014

No	Cation	Anion	Solute	T	Vcal	
1	CHOL	NTF2	DCM	  298.15	1.3585	
2	CHOL	BF4	DCM	  298.15	1.3585	
3	CHOL	PF6	DCM	  298.15	0.6399	
4	CHOL	NFO	DCM	  298.15	0.6399	
5	CHOL	ClO4	DCM	  298.15	1.3772	
6	CHOL	AC	DCM	  298.15	0.3448	
7	CHOL	NO3	DCM	  298.15	0.5627	
8	CHOL	TFA	DCM	  298.15	0.9796	
9	CHOL	TFO	DCM	  298.15	1.0743	
10	CHOL	Cl	DCM	  298.15	0.1712	
11	CHOL	SCN	DCM	  298.15	0.9567	
12	CHOL	DCA	DCM	  298.15	1.0103	
13	CHOL	MeSO3	DCM	  298.15	0.3379	
14	CHOL	HSO4	DCM	  298.15	0.6892	
15	CHOL	BCN4	DCM	  298.15	1.0230	
16	CHOL	BETI	DCM	  298.15	0.5313	
17	CHOL	Tosylate	DCM	  298.15	0.5208	
18	CHOL	FAP	DCM	  298.15	0.4910	
19	CHOL	C8SO4	DCM	  298.15	0.5807	
20	CHOL	MeSO4	DCM	  298.15	0.5807	
21	CHOL	MePO3	DCM	  298.15	0.3909	
22	MOPyr	NTF2	DCM	  298.15	0.4344	
23	MOPyr	BF4	DCM	  298.15	0.4344	
24	MOPyr	PF6	DCM	  298.15	0.3324	
25	MOPyr	NFO	DCM	  298.15	0.3324	
26	MOPyr	ClO4	DCM	  298.15	0.4285	
27	MOPyr	AC	DCM	  298.15	0.2512	
28	MOPyr	NO3	DCM	  298.15	0.3505	
29	MOPyr	TFA	DCM	  298.15	0.3614	
30	MOPyr	TFO	DCM	  298.15	0.3809	
31	MOPyr	Cl	DCM	  298.15	0.2444	
32	MOPyr	SCN	DCM	  298.15	0.3889	
33	MOPyr	DCA	DCM	  298.15	0.3777	
34	MOPyr	MeSO3	DCM	  298.15	0.2651	
35	MOPyr	HSO4	DCM	  298.15	0.3888	
36	MOPyr	BCN4	DCM	  298.15	0.3875	
37	MOPyr	BETI	DCM	  298.15	0.3317	
38	MOPyr	Tosylate	DCM	  298.15	0.2705	
39	MOPyr	FAP	DCM	  298.15	0.3799	
40	MOPyr	C8SO4	DCM	  298.15	0.3162	
41	MOPyr	MeSO4	DCM	  298.15	0.3162	
42	MOPyr	MePO3	DCM	  298.15	0.2505	
43	MDPyr	NTF2	DCM	  298.15	0.3873	
44	MDPyr	BF4	DCM	  298.15	0.3873	
45	MDPyr	PF6	DCM	  298.15	0.3089	
46	MDPyr	NFO	DCM	  298.15	0.3089	
47	MDPyr	ClO4	DCM	  298.15	0.3829	
48	MDPyr	AC	DCM	  298.15	0.2390	
49	MDPyr	NO3	DCM	  298.15	0.3231	
50	MDPyr	TFA	DCM	  298.15	0.3288	
51	MDPyr	TFO	DCM	  298.15	0.3459	
52	MDPyr	Cl	DCM	  298.15	0.2375	
53	MDPyr	SCN	DCM	  298.15	0.3513	
54	MDPyr	DCA	DCM	  298.15	0.3424	
55	MDPyr	MeSO3	DCM	  298.15	0.2527	
56	MDPyr	HSO4	DCM	  298.15	0.3530	
57	MDPyr	BCN4	DCM	  298.15	0.3527	
58	MDPyr	BETI	DCM	  298.15	0.3119	
59	MDPyr	Tosylate	DCM	  298.15	0.2528	
60	MDPyr	FAP	DCM	  298.15	0.3610	
61	MDPyr	C8SO4	DCM	  298.15	0.2936	
62	MDPyr	MeSO4	DCM	  298.15	0.2936	
63	MDPyr	MePO3	DCM	  298.15	0.2377	
64	EOIM	NTF2	DCM	  298.15	4.7420	
65	EOIM	BF4	DCM	  298.15	4.7420	
66	EOIM	PF6	DCM	  298.15	0.8892	
67	EOIM	NFO	DCM	  298.15	0.8892	
68	EOIM	ClO4	DCM	  298.15	4.2323	
69	EOIM	AC	DCM	  298.15	1.2343	
70	EOIM	NO3	DCM	  298.15	2.6135	
71	EOIM	TFA	DCM	  298.15	2.2436	
72	EOIM	TFO	DCM	  298.15	1.9572	
73	EOIM	Cl	DCM	  298.15	0.9472	
74	EOIM	SCN	DCM	  298.15	3.6924	
75	EOIM	DCA	DCM	  298.15	2.8429	
76	EOIM	MeSO3	DCM	  298.15	1.1529	
77	EOIM	HSO4	DCM	  298.15	2.9189	
78	EOIM	BCN4	DCM	  298.15	1.5490	
79	EOIM	BETI	DCM	  298.15	0.6486	
80	EOIM	Tosylate	DCM	  298.15	1.0076	
81	EOIM	FAP	DCM	  298.15	0.5149	
82	EOIM	C8SO4	DCM	  298.15	1.6985	
83	EOIM	MeSO4	DCM	  298.15	1.6985	
84	EOIM	MePO3	DCM	  298.15	1.1678	
85	MHPyr	NTF2	DCM	  298.15	0.4697	
86	MHPyr	BF4	DCM	  298.15	0.4697	
87	MHPyr	PF6	DCM	  298.15	0.3496	
88	MHPyr	NFO	DCM	  298.15	0.3496	
89	MHPyr	ClO4	DCM	  298.15	0.4633	
90	MHPyr	AC	DCM	  298.15	0.2387	
91	MHPyr	NO3	DCM	  298.15	0.3524	
92	MHPyr	TFA	DCM	  298.15	0.3790	
93	MHPyr	TFO	DCM	  298.15	0.4072	
94	MHPyr	Cl	DCM	  298.15	0.2197	
95	MHPyr	SCN	DCM	  298.15	0.4070	
96	MHPyr	DCA	DCM	  298.15	0.3972	
97	MHPyr	MeSO3	DCM	  298.15	0.2547	
98	MHPyr	HSO4	DCM	  298.15	0.3990	
99	MHPyr	BCN4	DCM	  298.15	0.4182	
100	MHPyr	BETI	DCM	  298.15	0.3482	
101	MHPyr	Tosylate	DCM	  298.15	0.2757	
102	MHPyr	FAP	DCM	  298.15	0.3985	
103	MHPyr	C8SO4	DCM	  298.15	0.3200	
104	MHPyr	MeSO4	DCM	  298.15	0.3200	
105	MHPyr	MePO3	DCM	  298.15	0.2424	
106	OMIM	NTF2	DCM	  298.15	0.5133	
107	OMIM	BF4	DCM	  298.15	0.5133	
108	OMIM	PF6	DCM	  298.15	0.3693	
109	OMIM	NFO	DCM	  298.15	0.3693	
110	OMIM	ClO4	DCM	  298.15	0.5053	
111	OMIM	AC	DCM	  298.15	0.3506	
112	OMIM	NO3	DCM	  298.15	0.4476	
113	OMIM	TFA	DCM	  298.15	0.4431	
114	OMIM	TFO	DCM	  298.15	0.4440	
115	OMIM	Cl	DCM	  298.15	0.3517	
116	OMIM	SCN	DCM	  298.15	0.4790	
117	OMIM	DCA	DCM	  298.15	0.4599	
118	OMIM	MeSO3	DCM	  298.15	0.3456	
119	OMIM	HSO4	DCM	  298.15	0.4902	
120	OMIM	BCN4	DCM	  298.15	0.4322	
121	OMIM	BETI	DCM	  298.15	0.3522	
122	OMIM	Tosylate	DCM	  298.15	0.3254	
123	OMIM	FAP	DCM	  298.15	0.3801	
124	OMIM	C8SO4	DCM	  298.15	0.3910	
125	OMIM	MeSO4	DCM	  298.15	0.3910	
126	OMIM	MePO3	DCM	  298.15	0.3360	
127	AMIM	NTF2	DCM	  298.15	1.1666	
128	AMIM	BF4	DCM	  298.15	1.1666	
129	AMIM	PF6	DCM	  298.15	0.5536	
130	AMIM	NFO	DCM	  298.15	0.5536	
131	AMIM	ClO4	DCM	  298.15	1.1348	
132	AMIM	AC	DCM	  298.15	0.4231	
133	AMIM	NO3	DCM	  298.15	0.6881	
134	AMIM	TFA	DCM	  298.15	0.8197	
135	AMIM	TFO	DCM	  298.15	0.8416	
136	AMIM	Cl	DCM	  298.15	0.3046	
137	AMIM	SCN	DCM	  298.15	0.9317	
138	AMIM	DCA	DCM	  298.15	0.8848	
139	AMIM	MeSO3	DCM	  298.15	0.4162	
140	AMIM	HSO4	DCM	  298.15	0.8018	
141	AMIM	BCN4	DCM	  298.15	0.7939	
142	AMIM	BETI	DCM	  298.15	0.4770	
143	AMIM	Tosylate	DCM	  298.15	0.4841	
144	AMIM	FAP	DCM	  298.15	0.4589	
145	AMIM	C8SO4	DCM	  298.15	0.5997	
146	AMIM	MeSO4	DCM	  298.15	0.5997	
147	AMIM	MePO3	DCM	  298.15	0.4355	
148	HMIM	NTF2	DCM	  298.15	0.7500	
149	HMIM	BF4	DCM	  298.15	0.7500	
150	HMIM	PF6	DCM	  298.15	0.4521	
151	HMIM	NFO	DCM	  298.15	0.4521	
152	HMIM	ClO4	DCM	  298.15	0.7331	
153	HMIM	AC	DCM	  298.15	0.3831	
154	HMIM	NO3	DCM	  298.15	0.5557	
155	HMIM	TFA	DCM	  298.15	0.5889	
156	HMIM	TFO	DCM	  298.15	0.5996	
157	HMIM	Cl	DCM	  298.15	0.3415	
158	HMIM	SCN	DCM	  298.15	0.6538	
159	HMIM	DCA	DCM	  298.15	0.6221	
160	HMIM	MeSO3	DCM	  298.15	0.3768	
161	HMIM	HSO4	DCM	  298.15	0.6323	
162	HMIM	BCN4	DCM	  298.15	0.5787	
163	HMIM	BETI	DCM	  298.15	0.4143	
164	HMIM	Tosylate	DCM	  298.15	0.3889	
165	HMIM	FAP	DCM	  298.15	0.4285	
166	HMIM	C8SO4	DCM	  298.15	0.4768	
167	HMIM	MeSO4	DCM	  298.15	0.4768	
168	HMIM	MePO3	DCM	  298.15	0.3764	
169	BMIM	NTF2	DCM	  298.15	0.7500	
170	BMIM	BF4	DCM	  298.15	0.7500	
