Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 21-Jun-2020

AARD=	0.1295

No	Cation	Anion	Solute	T	Vcal	Vexp	ARD	
1	EMMIM	ClO4	DCM	  313.15	0.6640	0.9100	0.2703
2	MMIM	NTF2	DCM	  323.15	1.3425	1.0400	0.2909
3	C16MIM	BF4	DCM	  343.15	0.3531	0.4800	0.2645
4	OMIM	NO3	DCM	  363.15	0.5064	0.3900	0.2985
5	MBPyr	BF4	DCM	  313.68	0.5499	0.7480	0.2649
6	C6MMIM	NTF2	DCM	  343.15	0.5236	0.7100	0.2625
7	OMIM	PF6	DCM	  363.15	0.3855	0.5200	0.2587
8	MMIM	NTF2	DCM	  312.45	1.2893	1.0100	0.2765
9	EMIM	NTF2	DCM	  343.00	1.1036	0.8620	0.2803
10	MBPyr	BF4	DCM	  323.02	0.5668	0.7570	0.2512
11	C6MMIM	NTF2	DCM	  353.15	0.5318	0.7000	0.2402
12	BMIM	ClO4	DCM	  333.15	0.7717	1.0100	0.2360
13	C16MIM	BF4	DCM	  333.15	0.3495	0.4600	0.2403
14	MBPyr	BF4	DCM	  333.38	0.5840	0.7660	0.2376
15	MBPyr	BF4	DCM	  343.78	0.5996	0.7720	0.2233
16	MBPyr	DCA	DCM	  353.15	0.5114	0.6550	0.2192
17	OMIM	PF6	DCM	  353.15	0.3829	0.4900	0.2185
18	EMIM	NTF2	DCM	  333.00	1.0831	0.8690	0.2463
19	EMMIM	NTF2	DCM	  323.00	0.6960	0.8920	0.2197
20	C16MIM	BF4	DCM	  323.15	0.3456	0.4400	0.2146
21	BenPOMMIM	BF4	DCM	  323.15	0.6170	0.7800	0.2089
22	BMIM	ClO4	DCM	  323.15	0.7615	0.9600	0.2068
23	BenPOMMIM	BF4	DCM	  343.15	0.6271	0.7900	0.2063
24	C4SO3MIM	NTF2	DCM	  323.15	1.3192	1.0800	0.2215
25	BenPOMMIM	BF4	DCM	  333.15	0.6225	0.7800	0.2019
26	OMMMIM	NTF2	DCM	  353.15	0.4625	0.5800	0.2026
27	C8POMMIM	NTF2	DCM	  343.15	0.3833	0.4800	0.2014
28	BenPOMMIM	DCA	DCM	  343.15	0.5513	0.6800	0.1893
29	OMIM	PF6	DCM	  343.15	0.3802	0.4700	0.1912
30	Epy	NTF2	DCM	  333.15	1.1967	0.9800	0.2211
31	EMIM	DCA	DCM	  322.65	0.8208	0.6700	0.2251
32	MBPyr	DCA	DCM	  333.15	0.4831	0.5910	0.1825
33	EMIM	MeSO3	DCM	  312.55	0.3855	0.4710	0.1816
34	EMIM	BF4	DCM	  363.15	1.1354	1.3850	0.1802
