Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 20-Jun-2020

AARD=	0.2214

No	Cation	Anion	Solute	T	Vcal	Vexp	ARD	
1	BMIM	C8SO4	DCM	  323.15	0.5072	0.2600	0.9509
2	BMIM	C8SO4	DCM	  333.15	0.5241	0.3000	0.7469
3	BMIM	C8SO4	DCM	  343.15	0.5398	0.3500	0.5422
4	OMIM	Cl	DCM	  313.15	0.3807	0.2200	0.7304
5	MOPyr	NTF2	DCM	  323.00	0.4472	0.2600	0.7200
6	MOPyr	NTF2	DCM	  333.00	0.4562	0.2700	0.6895
7	MDPyr	NTF2	DCM	  322.60	0.3966	0.2700	0.4689
8	MDPyr	NTF2	DCM	  343.10	0.4114	0.2800	0.4693
9	MDPyr	NTF2	DCM	  332.50	0.4041	0.3000	0.3469
10	MDPyr	NTF2	DCM	  342.80	0.4112	0.3000	0.3707
11	MHPyr	NTF2	DCM	  322.90	0.4896	0.3100	0.5793
12	OMIM	NO3	DCM	  303.15	0.4337	0.3200	0.3552
13	OMIM	NO3	DCM	  313.15	0.4461	0.3300	0.3517
14	D2MIM	NTF2	DCM	  323.10	0.2769	0.3300	0.1609
15	OMIM	NO3	DCM	  323.15	0.4576	0.3400	0.3459
16	C8POMMIM	DCA	DCM	  323.15	0.3296	0.3400	0.0306
17	D2MIM	NTF2	DCM	  333.15	0.2818	0.3410	0.1737
18	MHPyr	NTF2	DCM	  343.10	0.5122	0.3500	0.4633
19	D2MIM	NTF2	DCM	  343.15	0.2863	0.3510	0.1845
20	HMIM	Cl	DCM	  313.15	0.3871	0.3550	0.0903
21	BMIM	BETI	DCM	  322.55	0.4118	0.3560	0.1567
22	OMIM	NO3	DCM	  333.15	0.4683	0.3600	0.3010
23	HMIM	NTF2	DCM	  333.00	0.7811	0.3600	1.1698
24	OMIM	NO3	DCM	  343.15	0.4783	0.3700	0.2928
25	C8POMMIM	DCA	DCM	  333.15	0.3367	0.3700	0.0900
26	C8POMMIM	DCA	DCM	  343.15	0.3433	0.3700	0.0720
27	BenPOMMIM	NTF2	DCM	  343.15	0.6170	0.3700	0.6675
28	OMIM	NO3	DCM	  353.15	0.4876	0.3800	0.2831
29	HMIM	Cl	DCM	  323.15	0.4101	0.3830	0.0708
30	OMIM	NO3	DCM	  363.15	0.4961	0.3900	0.2722
31	HMIM	Cl	DCM	  333.15	0.4327	0.4150	0.0425
32	C8POMMIM	NTF2	DCM	  323.15	0.3669	0.4200	0.1265
33	C8POMMIM	NTF2	DCM	  333.15	0.3734	0.4300	0.1317
34	BMIM	BETI	DCM	  342.75	0.4159	0.4360	0.0461
35	C16MIM	BF4	DCM	  323.15	0.3415	0.4400	0.2239
36	BenPOMMIM	NTF2	DCM	  333.15	0.6124	0.4400	0.3918
37	HMIM	Cl	DCM	  343.15	0.4546	0.4440	0.0239
38	C16MIM	BF4	DCM	  333.15	0.3455	0.4600	0.2489
39	BMIM	NO3	DCM	  303.15	0.5484	0.4640	0.1820
40	OMIM	PF6	DCM	  343.15	0.3748	0.4700	0.2026
41	EMIM	MeSO3	DCM	  312.55	0.3794	0.4710	0.1944
42	HMIM	Cl	DCM	  353.15	0.4760	0.4760	0.0000
43	C16MIM	BF4	DCM	  343.15	0.3492	0.4800	0.2725
44	C8POMMIM	NTF2	DCM	  343.15	0.3793	0.4800	0.2098
45	OMIM	PF6	DCM	  353.15	0.3777	0.4900	0.2291
46	BMIM	NO3	DCM	  313.15	0.5715	0.4910	0.1639
47	HMIM	Cl	DCM	  363.15	0.4967	0.5100	0.0260
48	N8111	NTF2	DCM	  322.85	0.5275	0.5100	0.0342
49	N10111	NTF2	DCM	  322.85	0.4581	0.5100	0.1017
50	OMIM	PF6	DCM	  363.15	0.3805	0.5200	0.2683
51	BenPOMMIM	NTF2	DCM	  323.15	0.6069	0.5200	0.1671
52	BMIM	NO3	DCM	  323.15	0.5932	0.5260	0.1277
53	N8111	NTF2	DCM	  332.65	0.5351	0.5300	0.0097
54	MBPyr	BCN4	DCM	  318.15	0.4761	0.5360	0.1118
55	BMIM	NTF2	DCM	  362.65	0.8054	0.5390	0.4943
56	OMIM	PF6	DCM	  373.15	0.3830	0.5400	0.2908
57	N8111	NTF2	DCM	  343.15	0.5424	0.5400	0.0045
58	EMIM	Tosylate	DCM	  323.15	0.4605	0.5400	0.1472
59	MBPyr	DCA	DCM	  318.15	0.4521	0.5410	0.1644
60	MBPyr	BCN4	DCM	  323.15	0.4800	0.5420	0.1145
61	N10111	NTF2	DCM	  332.65	0.4646	0.5500	0.1554
62	BMIM	NO3	DCM	  333.15	0.6135	0.5520	0.1115
63	MBPyr	DCA	DCM	  323.15	0.4603	0.5580	0.1752
64	N10111	NTF2	DCM	  343.15	0.4708	0.5600	0.1594
65	4DM1POMPy	NTF2	DCM	  323.15	0.5140	0.5700	0.0983
66	MBPyr	BCN4	DCM	  343.15	0.4936	0.5740	0.1400
67	BMIM	NO3	DCM	  343.15	0.6326	0.5790	0.0925
68	BenPOMMIM	DCA	DCM	  323.15	0.5270	0.5800	0.0913
69	OMMMIM	NTF2	DCM	  353.15	0.4573	0.5800	0.2115
70	MBPyr	BCN4	DCM	  353.15	0.4994	0.5900	0.1535
71	MBPyr	BCN4	DCM	  333.15	0.4872	0.5900	0.1743
72	MBPyr	DCA	DCM	  333.15	0.4758	0.5910	0.1949
73	BMIM	NO3	DCM	  353.15	0.6503	0.6020	0.0803
74	MPePyr	NTF2	DCM	  323.15	0.5225	0.6100	0.1434
75	4DM1POMPy	NTF2	DCM	  333.15	0.5245	0.6200	0.1540
76	BMIM	DCA	DCM	  343.15	0.6607	0.6230	0.0604
77	BenPOMMIM	DCA	DCM	  333.15	0.5343	0.6300	0.1520
78	4DM1POMPy	NTF2	DCM	  343.15	0.5340	0.6300	0.1525
79	EMIM	NO3	DCM	  318.15	0.6268	0.6320	0.0083
80	HMIM	TFA	DCM	  303.15	0.5730	0.6400	0.1047
81	BMIM	NO3	DCM	  363.15	0.6668	0.6400	0.0419
82	OMMMIM	NTF2	DCM	  343.15	0.4504	0.6400	0.2962
83	HMIM	TFA	DCM	  313.15	0.5847	0.6500	0.1005
84	MPePyr	NTF2	DCM	  333.15	0.5359	0.6500	0.1755
85	MBPyr	NTF2	DCM	  343.15	0.5926	0.6500	0.0883
86	EMIM	NO3	DCM	  323.15	0.6442	0.6510	0.0104
87	MBPyr	DCA	DCM	  353.15	0.5040	0.6550	0.2305
88	EMIM	BCN4	DCM	  318.15	0.7370	0.6560	0.1235
89	HMIM	FAP	DCM	  312.80	0.4260	0.6600	0.3546
90	MPrPyr	NTF2	DCM	  323.15	0.6220	0.6600	0.0576
91	MBPyr	NTF2	DCM	  323.15	0.5615	0.6600	0.1493
92	N4441	NTF2	DCM	  322.85	0.3997	0.6600	0.3944
93	EMIM	BCN4	DCM	  323.15	0.7386	0.6650	0.1107
94	HMIM	TFA	DCM	  323.15	0.5953	0.6700	0.1115
95	EMIM	DCA	DCM	  322.65	0.8051	0.6700	0.2017
96	N6111	NTF2	DCM	  322.65	0.6273	0.6780	0.0747
97	HMIM	TFA	DCM	  333.15	0.6050	0.6800	0.1103
98	BenPOMMIM	DCA	DCM	  343.15	0.5407	0.6800	0.2048
99	OMMMIM	NTF2	DCM	  333.15	0.4429	0.6800	0.3487
100	EMIM	BCN4	DCM	  333.15	0.7410	0.6820	0.0865
101	BMIM	BF4	DCM	  303.35	0.7422	0.6900	0.0756
102	MPOMIM	DCA	DCM	  323.15	0.6083	0.6900	0.1183
103	EMIM	NTF2	DCM	  313.15	1.0175	0.6900	0.4746
104	N4441	NTF2	DCM	  332.65	0.4090	0.6900	0.4072
105	EMIM	NO3	DCM	  333.15	0.6781	0.6910	0.0187
106	EMIM	BCN4	DCM	  343.15	0.7425	0.6980	0.0638
107	HMIM	FAP	DCM	  332.85	0.4262	0.6990	0.3902
108	HMIM	TFA	DCM	  343.15	0.6138	0.7000	0.1232
109	C6MMIM	BF4	DCM	  313.15	0.4872	0.7000	0.3040
110	C6MMIM	NTF2	DCM	  353.15	0.5254	0.7000	0.2494
111	MBPyr	NTF2	DCM	  333.15	0.5778	0.7000	0.1746
112	N4441	NTF2	DCM	  343.15	0.4183	0.7000	0.4025
113	HMIM	FAP	DCM	  354.65	0.4265	0.7070	0.3968
114	MPOMIM	NTF2	DCM	  323.15	0.7355	0.7100	0.0358
115	C6MMIM	NTF2	DCM	  343.15	0.5173	0.7100	0.2715
116	EMIM	BCN4	DCM	  353.15	0.7434	0.7140	0.0411
117	HMIM	TFA	DCM	  353.15	0.6217	0.7200	0.1365
118	BMIM	BF4	DCM	  312.55	0.7561	0.7200	0.0501
119	MPrPyr	NTF2	DCM	  333.15	0.6436	0.7200	0.1061
120	C6MMIM	NTF2	DCM	  333.15	0.5082	0.7200	0.2942
121	MeOEMIM	NTF2	DCM	  332.65	0.9730	0.7200	0.3514
122	N6111	NTF2	DCM	  343.85	0.6494	0.7280	0.1080
123	EMIM	NO3	DCM	  343.15	0.7105	0.7290	0.0254
124	HMIM	TFA	DCM	  363.15	0.6289	0.7300	0.1384
125	EMIM	DCA	DCM	  332.85	0.8256	0.7300	0.1309
126	C6MMIM	NTF2	DCM	  323.15	0.4982	0.7300	0.3175
127	MBPyr	NTF2	DCM	  343.15	0.5926	0.7300	0.1882
128	C6MMIM	BF4	DCM	  323.15	0.4982	0.7400	0.3268
129	MPOMIM	DCA	DCM	  333.15	0.6200	0.7400	0.1621
130	C6MMIM	NTF2	DCM	  313.15	0.4872	0.7400	0.3416
131	MBPyr	BF4	DCM	  313.68	0.5446	0.7480	0.2719
132	MPOMIM	NTF2	DCM	  343.15	0.7550	0.7500	0.0066
133	OMMMIM	NTF2	DCM	  323.15	0.4346	0.7500	0.4205
134	MeOEMIM	NTF2	DCM	  342.75	0.9871	0.7500	0.3162
135	MBPyr	BF4	DCM	  323.02	0.5613	0.7570	0.2586
136	N6111	NTF2	DCM	  352.65	0.6569	0.7590	0.1345
137	MeOEMIM	NTF2	DCM	  353.15	0.9989	0.7600	0.3144
138	MBPyr	BF4	DCM	  333.38	0.5781	0.7660	0.2453
139	EMIM	NO3	DCM	  353.15	0.7412	0.7690	0.0361
140	BMIM	NTF2	DCM	  323.15	0.7700	0.7700	0.0000
141	MBPyr	BF4	DCM	  343.78	0.5935	0.7720	0.2313
142	BenPOMMIM	BF4	DCM	  323.15	0.6069	0.7800	0.2220
143	BenPOMMIM	BF4	DCM	  333.15	0.6124	0.7800	0.2149
144	MPOMIM	DCA	DCM	  343.15	0.6306	0.7800	0.1916
145	EMIM	DCA	DCM	  343.15	0.8441	0.7800	0.0821
146	MPrPyr	NTF2	DCM	  343.15	0.6633	0.7800	0.1497
147	BMIM	NTF2	DCM	  363.15	0.8057	0.7800	0.0330
148	BMIM	BF4	DCM	  332.55	0.7806	0.7900	0.0118
149	BMIM	BF4	DCM	  322.55	0.7693	0.7900	0.0262
150	BenPOMMIM	BF4	DCM	  343.15	0.6170	0.7900	0.2190
151	BMIM	PF6	DCM	  313.15	0.4456	0.7900	0.4360
152	MPOMIM	NTF2	DCM	  333.15	0.7460	0.7900	0.0557
153	BMIM	NTF2	DCM	  353.15	0.7990	0.7900	0.0114
154	BMIM	NTF2	DCM	  343.15	0.7909	0.7900	0.0011
155	BMIM	NTF2	DCM	  333.15	0.7813	0.7900	0.0111
156	C6MMIM	BF4	DCM	  333.15	0.5082	0.8000	0.3648
157	OMMMIM	NTF2	DCM	  313.15	0.4256	0.8200	0.4810
158	BMIM	ClO4	DCM	  303.15	0.7229	0.8400	0.1394
159	EMMIM	NTF2	DCM	  343.00	0.7341	0.8580	0.1444
160	EMIM	NTF2	DCM	  343.00	1.0867	0.8620	0.2607
161	EMIM	NTF2	DCM	  333.00	1.0670	0.8690	0.2279
162	C6MMIM	BF4	DCM	  343.15	0.5173	0.8700	0.4054
163	EMMIM	NTF2	DCM	  333.00	0.7132	0.8790	0.1886
164	EMIM	NTF2	DCM	  323.00	1.0439	0.8820	0.1835
165	EMIM	NTF2	DCM	  313.00	1.0170	0.8910	0.1415
166	EMMIM	NTF2	DCM	  323.00	0.6901	0.8920	0.2264
167	BMIM	PF6	DCM	  323.15	0.4499	0.9000	0.5001
168	EMIM	NTF2	DCM	  313.00	1.0170	0.9090	0.1189
169	EMMIM	ClO4	DCM	  313.15	0.6572	0.9100	0.2778
170	C6MMIM	BF4	DCM	  353.15	0.5254	0.9300	0.4350
171	BMIM	TFO	DCM	  303.15	0.5850	0.9320	0.3723
172	PCNMIM	DCA	DCM	  312.75	0.9928	0.9400	0.0562
173	MeOMPyr	FAP	DCM	  353.15	0.4298	0.9420	0.5438
174	MeOMPyr	FAP	DCM	  343.15	0.4294	0.9540	0.5499
